Markov Baseline 评估结果
==================================================

样本 127: UID=620, 长度=157, 得分=0.032391
样本 128: UID=622, 长度=205, 得分=0.002717
样本 129: UID=632, 长度=107, 得分=0.224672
样本 130: UID=634, 长度=200, 得分=0.324814
样本 131: UID=640, 长度=99, 得分=0.001269
样本 132: UID=642, 长度=251, 得分=0.245318
样本 133: UID=650, 长度=91, 得分=0.002543
样本 134: UID=651, 长度=167, 得分=0.084759
样本 135: UID=658, 长度=384, 得分=0.494371
样本 136: UID=670, 长度=259, 得分=0.000000
样本 137: UID=677, 长度=131, 得分=0.027106
样本 138: UID=681, 长度=132, 得分=0.039042
样本 139: UID=683, 长度=276, 得分=0.091293
样本 140: UID=694, 长度=101, 得分=0.000318
样本 141: UID=697, 长度=72, 得分=0.023409
样本 142: UID=698, 长度=171, 得分=0.077638
样本 143: UID=699, 长度=203, 得分=0.001427
样本 144: UID=703, 长度=160, 得分=0.000609
样本 145: UID=705, 长度=148, 得分=0.000002
样本 146: UID=707, 长度=162, 得分=0.013031
样本 147: UID=708, 长度=123, 得分=0.006834
样本 148: UID=725, 长度=148, 得分=0.003397
样本 149: UID=727, 长度=130, 得分=0.022116
样本 150: UID=729, 长度=98, 得分=0.037892
样本 151: UID=730, 长度=220, 得分=0.014297
样本 152: UID=735, 长度=282, 得分=0.133907
样本 153: UID=739, 长度=85, 得分=0.039248
样本 154: UID=746, 长度=252, 得分=0.001192
样本 155: UID=751, 长度=141, 得分=0.000063
样本 156: UID=755, 长度=165, 得分=0.002213
样本 157: UID=756, 长度=320, 得分=0.000098
样本 158: UID=764, 长度=332, 得分=0.021950
样本 159: UID=771, 长度=158, 得分=0.174424
样本 160: UID=782, 长度=99, 得分=0.040332
样本 161: UID=791, 长度=136, 得分=0.043002
样本 162: UID=797, 长度=137, 得分=0.015162
样本 163: UID=798, 长度=210, 得分=0.002801
样本 164: UID=799, 长度=128, 得分=0.000000
样本 165: UID=802, 长度=135, 得分=0.000712
样本 166: UID=807, 长度=258, 得分=0.001104
样本 167: UID=818, 长度=353, 得分=0.057466
样本 168: UID=835, 长度=246, 得分=0.001901
样本 169: UID=845, 长度=179, 得分=0.065793
样本 170: UID=860, 长度=228, 得分=0.001262
样本 171: UID=862, 长度=208, 得分=0.000409
样本 172: UID=867, 长度=215, 得分=0.001868
样本 173: UID=868, 长度=128, 得分=0.278717
样本 174: UID=869, 长度=199, 得分=0.019768
样本 175: UID=871, 长度=332, 得分=0.003042
样本 176: UID=872, 长度=317, 得分=0.418965
样本 177: UID=876, 长度=290, 得分=0.019677
样本 178: UID=878, 长度=145, 得分=0.268610
样本 179: UID=880, 长度=186, 得分=0.201924
样本 180: UID=891, 长度=149, 得分=0.070389
样本 181: UID=893, 长度=172, 得分=0.003666
样本 182: UID=894, 长度=119, 得分=0.000000
样本 183: UID=901, 长度=119, 得分=0.368549
样本 184: UID=910, 长度=121, 得分=0.045837
样本 185: UID=917, 长度=184, 得分=0.031400
样本 186: UID=920, 长度=114, 得分=0.022085
样本 187: UID=924, 长度=309, 得分=0.027207
样本 188: UID=931, 长度=199, 得分=0.002683
样本 189: UID=939, 长度=210, 得分=0.079987
样本 190: UID=942, 长度=206, 得分=0.117492
样本 191: UID=944, 长度=142, 得分=0.013211
样本 192: UID=947, 长度=270, 得分=0.000055
样本 193: UID=949, 长度=84, 得分=0.000006
样本 194: UID=951, 长度=127, 得分=0.066825
样本 195: UID=952, 长度=215, 得分=0.067756
样本 196: UID=954, 长度=140, 得分=0.000000
样本 197: UID=956, 长度=134, 得分=0.068090
样本 198: UID=963, 长度=165, 得分=0.000049
样本 199: UID=964, 长度=130, 得分=0.015185
样本 200: UID=966, 长度=265, 得分=0.298434
样本 201: UID=975, 长度=155, 得分=0.026008
样本 202: UID=977, 长度=143, 得分=0.005834
